연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,is_outlier_3-5세,is_outlier_6-8세,is_outlier_9-11세,cluster_3-5세,dist_3-5세,margin_3-5세,cluster_6-8세,dist_6-8세,margin_6-8세,cluster_9-11세,dist_9-11세,margin_9-11세
3-5세,60,60,1.25,0.5,1.0,1.0,3,9,0.0,,,1.0,0.8023934557688049,2.0319919769809176,,,,,,
3-5세,120,240,1.25,0.5,1.0,1.0,4,9,0.0,,,1.0,1.1564962862670864,1.0451064659048852,,,,,,
3-5세,210,210,3.75,1.0,0.4285714285714285,0.7551020408163265,3,4,0.0,,,2.0,1.2309076853769352,1.4242959924940253,,,,,,
3-5세,0,150,0.0,0.5,0.0,0.6800000000000002,5,5,0.0,,,2.0,1.64480753495252,1.525535754175707,,,,,,
3-5세,0,60,0.0,0.25,0.0,1.0,6,9,0.0,,,1.0,1.8281323141675847,1.9085751703793108,,,,,,
3-5세,40,190,0.5,1.0,0.625,0.9002770083102491,6,7,0.0,,,1.0,1.2570874591637686,1.0723158653235694,,,,,,
3-5세,190,130,3.75,1.5,0.5013850415512465,0.4319526627218935,7,7,0.0,,,2.0,1.5835809266628857,1.4803153244119394,,,,,,
3-5세,90,270,0.75,0.5,1.0,1.0,4,7,0.0,,,1.0,1.3185206579440836,1.1589606502280683,,,,,,
3-5세,120,360,1.25,1.0,1.0,0.5555555555555556,2,4,0.0,,,1.0,1.6206007752282525,0.4621911451889342,,,,,,
3-5세,240,360,1.5,0.75,0.625,0.7222222222222223,5,5,0.0,,,2.0,1.453600455061879,0.8051019354532079,,,,,,
3-5세,60,120,2.5,1.0,0.5,0.5,4,9,0.0,,,2.0,1.5442809457004991,0.060118115088718005,,,,,,
3-5세,120,120,2.0,1.0,0.5,0.5,6,7,0.0,,,2.0,1.3342880989745218,0.04963514037385619,,,,,,
3-5세,120,120,1.25,0.5,1.0,1.0,5,7,0.0,,,1.0,0.7585000456073675,1.6982063110508907,,,,,,
3-5세,180,420,3.25,1.25,0.3333333333333333,0.346938775510204,3,7,0.0,,,2.0,1.2384872315179416,2.1069033625204483,,,,,,
3-5세,240,600,4.5,2.0,0.25,0.26,6,7,0.0,,,0.0,3.3306382937988643,0.6304302069186392,,,,,,
3-5세,120,240,3.5,1.0,0.375,0.625,3,3,0.0,,,2.0,1.0956355808511344,1.2794920125638405,,,,,,
3-5세,125,300,2.75,0.5,0.4624,1.0,3,6,0.0,,,1.0,1.7266583015131431,0.24213157108620553,,,,,,
3-5세,240,360,3.0,1.5,0.40625,0.3888888888888889,4,5,0.0,,,2.0,1.0792334629688625,2.300253787471778,,,,,,
3-5세,90,150,2.5,1.0,0.5555555555555556,0.6800000000000002,5,6,0.0,,,2.0,1.3367280989140546,0.13622561352281548,,,,,,
3-5세,120,300,0.25,0.75,1.0,0.6800000000000002,6,6,0.0,,,1.0,1.660798572319024,0.6371578311577797,,,,,,
3-5세,200,260,3.75,1.75,0.2799999999999999,0.4289940828402367,2,6,0.0,,,2.0,1.5747542981221054,2.0498119104103765,,,,,,
3-5세,240,240,2.5,1.0,0.5,0.5,4,6,0.0,,,2.0,0.5712524112612982,1.6538869949870274,,,,,,
3-5세,240,180,2.5,1.0,0.625,0.5555555555555556,2,2,0.0,,,2.0,0.8958223477594951,1.1537395793366618,,,,,,
3-5세,300,240,2.5,1.0,0.52,0.625,5,4,0.0,,,2.0,1.0190259338960803,1.5043646825259225,,,,,,
3-5세,150,180,0.75,0.5,1.0,1.0,5,6,0.0,,,1.0,1.0512075021554537,1.4008882099726108,,,,,,
